Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
01.11.2018,16.11.2018,CALL,95.0,BABA181116C00095000,42.15,55.3,55.9,0.0,0.0,10,10,1.0000000000000003e-05
01.11.2018,16.11.2018,CALL,131.0,BABA181116C00131000,12.45,21.15,21.8,-0.5500002,-4.230771,2,43,0.6184120190429689
01.11.2018,16.11.2018,CALL,132.0,BABA181116C00132000,20.57,20.3,20.95,8.7699995,74.32203,1,159,0.6176796044921876
01.11.2018,16.11.2018,CALL,133.0,BABA181116C00133000,14.22,19.4,20.05,2.8200006,24.736849,2,43,0.6081582153320313
01.11.2018,16.11.2018,CALL,134.0,BABA181116C00134000,18.15,18.55,19.25,7.54,71.06503,8,336,0.6074258007812501
01.11.2018,16.11.2018,CALL,136.0,BABA181116C00136000,17.39,16.8,17.5,7.49,75.65657,17,199,0.5886271606445312
01.11.2018,16.11.2018,CALL,137.0,BABA181116C00137000,15.85,16.0,16.7,6.1000004,62.564106,34,207,0.5864299169921875
01.11.2018,16.11.2018,CALL,138.0,BABA181116C00138000,14.65,15.2,15.85,5.799999,65.53671,37,339,0.5795940478515625
01.11.2018,16.11.2018,CALL,139.0,BABA181116C00139000,14.55,14.45,15.05,6.78,87.25869,31,512,0.5765423205566407
01.11.2018,16.11.2018,CALL,141.0,BABA181116C00141000,13.0,12.9,13.45,5.77,79.806366,255,303,0.5632367895507813
01.11.2018,16.11.2018,CALL,142.0,BABA181116C00142000,12.4,12.1,12.7,5.7,85.07463,634,1982,0.5554243676757813
01.11.2018,16.11.2018,CALL,143.0,BABA181116C00143000,11.79,11.4,11.95,5.69,93.27869,598,842,0.5509078112792969
01.11.2018,16.11.2018,CALL,144.0,BABA181116C00144000,9.8,10.7,11.25,4.2000003,75.00001,1300,1626,0.5468795312500001
01.11.2018,16.11.2018,CALL,146.0,BABA181116C00146000,9.45,9.4,9.85,4.71,99.367096,158,1145,0.5378464184570313
01.11.2018,16.11.2018,CALL,147.0,BABA181116C00147000,8.4,8.75,9.2,4.7,127.02702,379,421,0.5329636547851562
01.11.2018,16.11.2018,CALL,148.0,BABA181116C00148000,8.26,8.1,8.5,4.4700003,117.94196,510,1029,0.5241746801757812
01.11.2018,16.11.2018,CALL,149.0,BABA181116C00149000,7.61,7.45,8.0,4.0600004,114.36621,774,253,0.5217332983398437
01.11.2018,16.11.2018,CALL,152.5,BABA181116C00152500,5.85,5.8,6.05,3.3999999,138.7755,2919,2481,0.5151415673828125
01.11.2018,16.11.2018,CALL,157.5,BABA181116C00157500,3.65,3.55,3.8,2.31,172.38805,2087,2878,0.5004932763671875
01.11.2018,16.11.2018,CALL,162.5,BABA181116C00162500,2.15,2.05,2.19,1.46,211.59421,424,608,0.4792532543945312
01.11.2018,16.11.2018,CALL,167.5,BABA181116C00167500,1.2,1.14,1.32,0.84000003,233.33333,117,1449,0.48340360351562506
01.11.2018,16.11.2018,PUT,50.0,BABA181116P00050000,0.01,0.01,0.02,-0.02,-66.66667,1,1066,1.7968760156249999
01.11.2018,16.11.2018,PUT,60.0,BABA181116P00060000,0.04,0.0,0.04,0.0,0.0,9,901,1.5468772656249998
01.11.2018,16.11.2018,PUT,65.0,BABA181116P00065000,0.03,0.0,0.06,-0.020000001,-40.000004,1,204,1.484377578125
