Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
11.10.2018,26.10.2018,CALL,23.0,BAC181026C00023000,6.65,5.95,6.05,6.65,100.0,10,10,1.1435589697265625
11.10.2018,26.10.2018,CALL,24.0,BAC181026C00024000,6.4,5.5,5.65,0.0,0.0,4,4,1.3271518017578123
11.10.2018,26.10.2018,CALL,25.0,BAC181026C00025000,5.15,4.1,4.3,0.4500003,8.737869,1,95,0.948242705078125
11.10.2018,26.10.2018,CALL,25.5,BAC181026C00025500,4.35,4.0,4.2,0.0,0.0,4,193,1.0722702636718753
11.10.2018,26.10.2018,CALL,26.0,BAC181026C00026000,2.6,2.55,2.58,-1.4500003,-35.802475,43,415,0.43164630859375
11.10.2018,26.10.2018,CALL,26.5,BAC181026C00026500,2.2,2.07,2.15,-1.3,-37.142857,11,789,0.411138701171875
11.10.2018,26.10.2018,CALL,27.0,BAC181026C00027000,1.79,1.68,1.73,-0.78999996,-30.620155,45,1131,0.38477177734374995
11.10.2018,26.10.2018,CALL,27.5,BAC181026C00027500,1.41,1.38,1.4,-0.7900001,-35.909092,73,377,0.38867798828125
11.10.2018,26.10.2018,CALL,28.0,BAC181026C00028000,1.08,1.06,1.08,-0.52,-32.5,707,1252,0.37793590820312495
11.10.2018,26.10.2018,CALL,28.5,BAC181026C00028500,0.75,0.75,0.76,-0.64,-46.043163,541,915,0.348639326171875
11.10.2018,26.10.2018,CALL,29.0,BAC181026C00029000,0.53,0.53,0.54,-0.43,-44.791668,1528,967,0.34278000976562495
11.10.2018,26.10.2018,CALL,29.5,BAC181026C00029500,0.37,0.36,0.37,-0.27999997,-43.07692,1571,1050,0.33789724609375
11.10.2018,26.10.2018,CALL,30.0,BAC181026C00030000,0.26,0.23,0.24,-0.21000001,-44.68085,1274,4979,0.3320379296875
11.10.2018,26.10.2018,CALL,30.5,BAC181026C00030500,0.16,0.15,0.16,-0.14000002,-46.66667,1261,3980,0.334967587890625
11.10.2018,26.10.2018,CALL,31.0,BAC181026C00031000,0.1,0.11,0.12,-0.080000006,-44.444447,8413,41715,0.35156898437499995
11.10.2018,26.10.2018,CALL,31.5,BAC181026C00031500,0.06,0.06,0.06,-0.05,-45.454548,98,4393,0.3320379296875
11.10.2018,26.10.2018,CALL,32.0,BAC181026C00032000,0.04,0.04,0.05,-0.02,-33.333336,186,3362,0.35547519531249994
11.10.2018,26.10.2018,CALL,32.5,BAC181026C00032500,0.04,0.02,0.03,0.01,33.333336,5,939,0.35547519531249994
11.10.2018,26.10.2018,CALL,33.0,BAC181026C00033000,0.02,0.01,0.02,0.0,0.0,130,1166,0.3632876171875
11.10.2018,26.10.2018,CALL,33.5,BAC181026C00033500,0.02,0.01,0.03,0.0,0.0,3,308,0.41797457031249996
11.10.2018,26.10.2018,CALL,34.0,BAC181026C00034000,0.01,0.0,0.05,-0.02,-66.66667,12,137,0.49219257812500006
11.10.2018,26.10.2018,CALL,34.5,BAC181026C00034500,0.04,0.0,0.03,0.0,0.0,30,30,0.476567734375
11.10.2018,26.10.2018,CALL,35.0,BAC181026C00035000,0.02,0.0,0.03,0.0,0.0,50,50,0.507817421875
11.10.2018,26.10.2018,CALL,35.5,BAC181026C00035500,0.02,0.0,0.04,0.0,0.0,1,1,0.5039112109375
11.10.2018,26.10.2018,CALL,38.0,BAC181026C00038000,0.02,0.0,0.02,0.0,0.0,4,8,0.57812921875
11.10.2018,26.10.2018,PUT,24.5,BAC181026P00024500,0.01,0.0,0.04,0.0,0.0,20,20,0.4062559375
11.10.2018,26.10.2018,PUT,25.0,BAC181026P00025000,0.02,0.0,0.03,0.0,0.0,2,54,0.3437565625
11.10.2018,26.10.2018,PUT,25.5,BAC181026P00025500,0.09,0.09,0.09,0.050000004,125.000015,91,24,0.3789124609375
