Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
25.10.2018,26.10.2018,CALL,120.0,FB181026C00120000,27.9,30.65,31.3,0.0,0.0,2,13,1.2421912890624998
25.10.2018,26.10.2018,CALL,125.0,FB181026C00125000,27.15,25.65,26.3,0.0,0.0,9,23,1.0390673046875003
25.10.2018,26.10.2018,CALL,126.0,FB181026C00126000,25.35,24.65,25.3,0.0,0.0,9,11,1.000005
25.10.2018,26.10.2018,CALL,127.0,FB181026C00127000,22.65,23.7,24.3,0.0,0.0,1,11,1.0546922265625
25.10.2018,26.10.2018,CALL,128.0,FB181026C00128000,22.9,22.7,23.4,0.0,0.0,1,9,1.1171919140625
25.10.2018,26.10.2018,CALL,129.0,FB181026C00129000,26.75,21.15,22.7,0.0,0.0,7,7,1.623048759765625
25.10.2018,26.10.2018,CALL,131.0,FB181026C00131000,18.45,19.8,20.35,0.0,0.0,1,10,1.01953615234375
25.10.2018,26.10.2018,CALL,132.0,FB181026C00132000,25.05,18.15,19.7,0.0,0.0,3,3,1.44140904296875
25.10.2018,26.10.2018,CALL,133.0,FB181026C00133000,13.8,17.75,18.35,0.0,0.0,4,4,0.8945323046874999
25.10.2018,26.10.2018,CALL,134.0,FB181026C00134000,17.55,16.15,17.7,0.0,0.0,3,3,1.3203158984374999
25.10.2018,26.10.2018,CALL,136.0,FB181026C00136000,16.0,14.8,15.75,0.0,0.0,1,7,0.96289099609375
25.10.2018,26.10.2018,CALL,137.0,FB181026C00137000,18.3,13.25,14.85,0.0,0.0,6,6,0.7148466015625
25.10.2018,26.10.2018,CALL,138.0,FB181026C00138000,15.5,12.75,13.35,0.0,0.0,1,14,0.6699251757812501
25.10.2018,26.10.2018,CALL,139.0,FB181026C00139000,13.9,11.3,12.85,0.0,0.0,6,6,0.6523472265625001
25.10.2018,26.10.2018,CALL,141.0,FB181026C00141000,10.27,9.8,10.5,3.8200006,59.22482,210,213,0.6181678808593751
25.10.2018,26.10.2018,PUT,126.0,FB181026P00126000,0.02,0.0,0.03,0.0,0.0,59,169,0.945313046875
25.10.2018,26.10.2018,PUT,127.0,FB181026P00127000,0.02,0.01,0.04,0.0,0.0,53,75,0.9609378906249999
25.10.2018,26.10.2018,PUT,132.0,FB181026P00132000,0.15,0.0,0.03,0.0,0.0,1,1,0.7187528125
