Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
08.11.2018,09.11.2018,CALL,92.0,JPM181109C00092000,17.25,18.4,22.6,0.0,0.0,1,1,1.4257841210937499
08.11.2018,09.11.2018,CALL,96.0,JPM181109C00096000,14.7,16.2,17.05,0.0,0.0,1,2,1.3398470507812497
08.11.2018,09.11.2018,CALL,96.5,JPM181109C00096500,12.85,13.8,18.0,0.0,0.0,2,2,0.867188828125
08.11.2018,09.11.2018,CALL,98.5,JPM181109C00098500,9.85,12.25,16.15,0.0,0.0,1,1,1.2343788281249999
08.11.2018,09.11.2018,PUT,91.0,JPM181109P00091000,0.02,0.0,0.02,0.0,0.0,824,1023,1.0781296093750001
08.11.2018,09.11.2018,PUT,92.0,JPM181109P00092000,0.06,0.0,0.02,0.0,0.0,2,6,1.0312548437500002
08.11.2018,09.11.2018,PUT,96.0,JPM181109P00096000,0.1,0.0,0.02,0.0,0.0,33,43,0.8281267187499999
08.11.2018,09.11.2018,PUT,96.5,JPM181109P00096500,0.09,0.0,0.27,0.0,100.0,15,15,1.158207333984375
08.11.2018,09.11.2018,PUT,97.0,JPM181109P00097000,0.01,0.0,0.23,0.0,0.0,17,2303,1.09375453125
08.11.2018,09.11.2018,PUT,98.0,JPM181109P00098000,0.01,0.0,0.21,-0.01,-50.0,2,1798,1.01172369140625
08.11.2018,09.11.2018,PUT,98.5,JPM181109P00098500,0.08,0.0,0.19,0.0,0.0,98,487,0.9648441015625
08.11.2018,09.11.2018,PUT,99.0,JPM181109P00099000,0.1,0.0,0.21,0.0,0.0,55,3287,0.9492192578124999
