Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
22.11.2018,23.11.2018,CALL,77.5,MSFT181123C00077500,26.82,23.0,27.5,0.0,0.0,1,0,3.713867902832031
22.11.2018,23.11.2018,CALL,80.0,MSFT181123C00080000,24.76,21.0,25.5,0.0,0.0,5,5,1.81640716796875
22.11.2018,23.11.2018,CALL,85.0,MSFT181123C00085000,16.6,18.0,18.2,0.0,0.0,1,2,1.3359408203124996
22.11.2018,23.11.2018,CALL,85.5,MSFT181123C00085500,15.75,17.5,17.75,0.0,0.0,2,2,1.015629921875
22.11.2018,23.11.2018,CALL,86.0,MSFT181123C00086000,15.25,17.0,17.2,0.0,0.0,1,1,1.2695349023437497
22.11.2018,23.11.2018,CALL,88.0,MSFT181123C00088000,15.5,15.0,15.2,0.0,0.0,6,1,1.1328168359375002
22.11.2018,23.11.2018,CALL,88.5,MSFT181123C00088500,15.01,14.5,14.7,0.0,0.0,3,0,1.0976607617187502
22.11.2018,23.11.2018,CALL,89.0,MSFT181123C00089000,14.52,14.0,14.2,0.0,0.0,4,2,1.0625046875000002
22.11.2018,23.11.2018,CALL,89.5,MSFT181123C00089500,14.51,13.5,13.7,2.58,21.626152,4,9,1.0273486132812502
22.11.2018,23.11.2018,CALL,90.0,MSFT181123C00090000,13.15,13.0,13.2,1.8299999,16.166077,6,78,0.9960937890625
22.11.2018,23.11.2018,CALL,91.0,MSFT181123C00091000,11.25,12.0,12.2,0.0,0.0,1,1,0.9257819921875
22.11.2018,23.11.2018,CALL,91.5,MSFT181123C00091500,10.73,9.65,14.0,0.0,0.0,1,1,1.0625046875000002
22.11.2018,23.11.2018,CALL,92.0,MSFT181123C00092000,9.45,11.0,11.2,0.0,0.0,28,28,0.85937640625
22.11.2018,23.11.2018,CALL,93.0,MSFT181123C00093000,8.35,10.0,10.2,0.0,0.0,90,6,0.79101771484375
22.11.2018,23.11.2018,CALL,93.5,MSFT181123C00093500,11.0,7.65,12.0,0.0,0.0,2,38,0.9101571484375
22.11.2018,23.11.2018,CALL,94.0,MSFT181123C00094000,9.42,9.05,9.2,1.6199999,20.76923,47,7,0.5468795312500001
22.11.2018,23.11.2018,CALL,95.5,MSFT181123C00095500,11.8,5.15,9.25,0.0,0.0,8,0,1.517580537109375
22.11.2018,23.11.2018,CALL,96.0,MSFT181123C00096000,7.43,7.0,7.2,2.0299997,37.592587,272,68,0.585941640625
22.11.2018,23.11.2018,CALL,96.5,MSFT181123C00096500,4.85,6.5,6.75,0.0,0.0,17,21,0.6074258007812501
22.11.2018,23.11.2018,CALL,97.0,MSFT181123C00097000,6.9,6.0,6.25,2.3000002,50.000008,7,48,0.570316796875
