Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
22.11.2018,23.11.2018,CALL,150.0,NFLX181123C00150000,119.18,111.8,112.8,0.0,0.0,4,4,3.2656268359375
22.11.2018,23.11.2018,CALL,205.0,NFLX181123C00205000,62.63,56.85,57.5,0.0,0.0,3,3,1.3281283593749997
22.11.2018,23.11.2018,CALL,215.0,NFLX181123C00215000,52.1,46.8,47.85,0.0,0.0,2,1,1.3339877050781246
22.11.2018,23.11.2018,CALL,220.0,NFLX181123C00220000,42.5,41.85,42.55,0.0,0.0,3,22,1.0351610742187503
22.11.2018,23.11.2018,CALL,240.0,NFLX181123C00240000,34.04,22.0,22.65,0.0,0.0,5,18,0.6748079394531252
22.11.2018,23.11.2018,CALL,242.5,NFLX181123C00242500,31.15,19.5,20.2,0.0,0.0,10,10,0.62305064453125
22.11.2018,23.11.2018,CALL,247.5,NFLX181123C00247500,15.55,14.65,15.3,0.0,0.0,10,11,0.5400436621093752
22.11.2018,23.11.2018,CALL,252.5,NFLX181123C00252500,15.1,10.1,10.6,0.0,0.0,3,23,0.5410202148437502
22.11.2018,23.11.2018,CALL,257.5,NFLX181123C00257500,8.6,5.95,6.45,-3.0999994,-26.495722,72,216,0.4797415307617187
22.11.2018,23.11.2018,CALL,262.5,NFLX181123C00262500,2.98,2.74,2.89,-5.52,-64.94118,782,421,0.39649041015625003
22.11.2018,23.11.2018,CALL,265.0,NFLX181123C00265000,1.68,1.61,1.72,-5.2200003,-75.652176,2348,774,0.37695935546875
22.11.2018,23.11.2018,CALL,267.5,NFLX181123C00267500,0.87,0.82,0.91,-4.63,-84.18182,2465,470,0.36035795898437495
22.11.2018,23.11.2018,CALL,272.5,NFLX181123C00272500,0.21,0.18,0.21,-2.99,-93.4375,3180,886,0.352545537109375
22.11.2018,23.11.2018,PUT,170.0,NFLX181123P00170000,0.04,0.0,0.02,0.0,0.0,2,2,1.9375003125
22.11.2018,23.11.2018,PUT,232.5,NFLX181123P00232500,0.05,0.01,0.07,0.0,0.0,23,0,0.6914093359375001
22.11.2018,23.11.2018,PUT,237.5,NFLX181123P00237500,0.08,0.07,0.1,0.0,0.0,60,86,0.6445348046875
22.11.2018,23.11.2018,PUT,242.5,NFLX181123P00242500,0.19,0.14,0.18,0.0,0.0,273,202,0.586918193359375
22.11.2018,23.11.2018,PUT,247.5,NFLX181123P00247500,0.33,0.28,0.34,-0.87,-72.5,334,587,0.5268602001953125
22.11.2018,23.11.2018,PUT,252.5,NFLX181123P00252500,0.64,0.62,0.67,-1.33,-67.51269,887,356,0.4760794580078125
22.11.2018,23.11.2018,PUT,257.5,NFLX181123P00257500,1.4,1.39,1.47,-1.3000001,-48.148148,1639,505,0.4272518212890626
22.11.2018,23.11.2018,PUT,262.5,NFLX181123P00262500,3.05,3.0,3.2,-1.0200002,-25.061428,2504,496,0.38867798828125
22.11.2018,23.11.2018,PUT,267.5,NFLX181123P00267500,5.96,6.0,6.35,0.11000013,1.8803442,1888,645,0.372076591796875
22.11.2018,23.11.2018,PUT,272.5,NFLX181123P00272500,10.28,10.2,10.8,1.6899996,19.674034,1219,521,0.42236905761718746
