Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
18.10.2018,19.10.2018,CALL,155.0,NVDA181019C00155000,84.28,83.0,86.0,-41.309998,-32.892746,4,38,3.832031669921875
18.10.2018,19.10.2018,CALL,160.0,NVDA181019C00160000,106.75,88.45,89.15,106.75,100.0,1,1,6.211916297607422
18.10.2018,19.10.2018,CALL,165.0,NVDA181019C00165000,126.99,77.75,78.3,0.0,0.0,2,3,4.216801604003906
18.10.2018,19.10.2018,CALL,170.0,NVDA181019C00170000,75.17,68.0,71.0,-37.78,-33.44843,9,37,3.151369309082031
18.10.2018,19.10.2018,CALL,175.0,NVDA181019C00175000,99.46,67.55,68.3,5.6100006,5.640459,1,10,3.669922700195313
18.10.2018,19.10.2018,CALL,180.0,NVDA181019C00180000,64.26,58.0,61.0,0.0,0.0,4,11,2.722659443359375
18.10.2018,19.10.2018,CALL,185.0,NVDA181019C00185000,54.3,53.0,56.0,0.0,0.0,1,137,2.513675590820312
18.10.2018,19.10.2018,CALL,190.0,NVDA181019C00190000,48.5,49.0,50.05,-6.0999985,-11.172159,2,77,1.8339852050781247
18.10.2018,19.10.2018,CALL,195.0,NVDA181019C00195000,68.95,47.7,48.55,-13.550003,-19.651928,44,34,2.7534210852050784
18.10.2018,19.10.2018,CALL,200.0,NVDA181019C00200000,38.1,39.15,39.9,-4.0,-9.501188,22,278,1.396487392578125
18.10.2018,19.10.2018,CALL,205.0,NVDA181019C00205000,34.0,34.1,35.15,-39.64,-53.829437,3,123,0.98437515625
18.10.2018,19.10.2018,CALL,207.5,NVDA181019C00207500,29.95,30.5,33.5,0.0,0.0,1,1,1.6084003955078123
18.10.2018,19.10.2018,CALL,210.0,NVDA181019C00210000,33.82,29.2,29.9,0.0,0.0,34,127,0.6953155468750001
18.10.2018,19.10.2018,CALL,215.0,NVDA181019C00215000,28.25,24.15,25.0,0.0,0.0,3,101,0.6445348046875
18.10.2018,19.10.2018,CALL,220.0,NVDA181019C00220000,17.78,19.05,20.1,-7.869999,-30.682257,6,136,0.523442265625
18.10.2018,19.10.2018,CALL,222.5,NVDA181019C00222500,17.4,16.7,17.5,0.0,0.0,149,21,0.72070591796875
18.10.2018,19.10.2018,CALL,225.0,NVDA181019C00225000,15.09,14.3,15.0,-2.709999,-15.224714,11,172,0.6367223828125
18.10.2018,19.10.2018,CALL,227.5,NVDA181019C00227500,15.85,11.5,13.5,0.0,0.0,29,26,0.551762294921875
18.10.2018,19.10.2018,CALL,230.0,NVDA181019C00230000,8.75,9.35,10.3,-3.8999996,-30.830038,43,489,0.5429733203125001
18.10.2018,19.10.2018,CALL,232.5,NVDA181019C00232500,8.2,7.2,7.85,-2.1999998,-21.153845,13,74,0.4545952978515625
18.10.2018,19.10.2018,CALL,235.0,NVDA181019C00235000,5.4,5.15,5.65,-3.4500003,-38.98305,372,516,0.40332627929687503
18.10.2018,19.10.2018,CALL,237.5,NVDA181019C00237500,3.3,3.3,3.7,-3.5000002,-51.47059,577,872,0.3632876171875
18.10.2018,19.10.2018,CALL,240.0,NVDA181019C00240000,1.85,1.93,2.15,-2.7800002,-60.043198,3357,2448,0.33570000244140624
18.10.2018,19.10.2018,CALL,242.5,NVDA181019C00242500,0.92,0.92,1.07,-2.3799999,-72.12121,3612,1608,0.3161689477539062
18.10.2018,19.10.2018,CALL,245.0,NVDA181019C00245000,0.37,0.35,0.44,-1.68,-81.95122,10973,4287,0.3012765185546875
18.10.2018,19.10.2018,CALL,247.5,NVDA181019C00247500,0.17,0.15,0.2,-1.0600001,-86.17886,5638,1942,0.31250687499999996
18.10.2018,19.10.2018,CALL,250.0,NVDA181019C00250000,0.07,0.06,0.1,-0.59000003,-89.39394,13171,6032,0.3320379296875
18.10.2018,19.10.2018,CALL,252.5,NVDA181019C00252500,0.05,0.04,0.06,-0.29999998,-85.71428,2681,1941,0.36133451171875
18.10.2018,19.10.2018,CALL,255.0,NVDA181019C00255000,0.02,0.02,0.04,-0.18,-90.0,1978,3941,0.39258419921875
18.10.2018,19.10.2018,CALL,257.5,NVDA181019C00257500,0.02,0.02,0.03,-0.09,-81.818184,290,1120,0.42578699218750005
18.10.2018,19.10.2018,CALL,260.0,NVDA181019C00260000,0.03,0.01,0.03,-0.049999997,-62.5,797,4991,0.476567734375
18.10.2018,19.10.2018,CALL,262.5,NVDA181019C00262500,0.03,0.01,0.02,-0.01,-25.0,141,731,0.500005
18.10.2018,19.10.2018,CALL,265.0,NVDA181019C00265000,0.01,0.01,0.05,-0.04,-79.99999,237,2684,0.570316796875
18.10.2018,19.10.2018,CALL,267.5,NVDA181019C00267500,0.01,0.0,0.01,-0.02,-66.66667,29,1617,0.51562984375
18.10.2018,19.10.2018,CALL,270.0,NVDA181019C00270000,0.01,0.01,0.04,-0.02,-66.66667,363,3751,0.648441015625
18.10.2018,19.10.2018,CALL,272.5,NVDA181019C00272500,0.01,0.0,0.01,-0.02,-66.66667,11,781,0.5937540625000001
18.10.2018,19.10.2018,CALL,275.0,NVDA181019C00275000,0.01,0.0,0.01,-0.01,-50.0,29,15909,0.6250037500000001
18.10.2018,19.10.2018,CALL,277.5,NVDA181019C00277500,0.02,0.0,0.02,0.01,100.0,1,1349,0.70312796875
18.10.2018,19.10.2018,CALL,280.0,NVDA181019C00280000,0.01,0.0,0.02,0.0,0.0,18,3634,0.7500025
18.10.2018,19.10.2018,CALL,282.5,NVDA181019C00282500,0.01,0.0,0.01,0.0,0.0,4,792,0.73437765625
18.10.2018,19.10.2018,CALL,285.0,NVDA181019C00285000,0.01,0.0,0.01,0.0,0.0,26,3189,0.7812521875
