Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
04.10.2018,05.10.2018,CALL,245.0,SPY181005C00245000,44.46,44.52,44.74,-2.3400002,-5.0000005,17,20,1.0273486132812502
04.10.2018,05.10.2018,CALL,250.0,SPY181005C00250000,42.72,39.49,39.74,0.0,0.0,9,10,0.8984385156249999
04.10.2018,05.10.2018,CALL,252.5,SPY181005C00252500,36.87,37.01,37.24,-1.1399994,-2.9992092,5,0,0.85742330078125
04.10.2018,05.10.2018,CALL,260.0,SPY181005C00260000,29.57,29.49,29.74,0.11999893,0.40746665,50,0,0.68555001953125
04.10.2018,05.10.2018,CALL,262.5,SPY181005C00262500,25.99,27.03,27.25,0.0,0.0,135,36,0.65820654296875
04.10.2018,05.10.2018,CALL,267.5,SPY181005C00267500,21.97,22.07,22.24,-1.8000011,-7.572575,218,0,0.56055126953125
04.10.2018,05.10.2018,CALL,272.5,SPY181005C00272500,16.7,17.07,17.24,-1.6700001,-9.090909,191,0,0.495122236328125
04.10.2018,05.10.2018,CALL,273.0,SPY181005C00273000,16.16,16.57,16.74,-2.6800003,-14.225056,99,20,0.48242705078125003
04.10.2018,05.10.2018,CALL,274.0,SPY181005C00274000,14.68,15.57,15.76,-3.9499989,-21.202356,5,0,0.4672904833984375
04.10.2018,05.10.2018,CALL,275.0,SPY181005C00275000,14.03,14.58,14.75,-2.04,-12.694462,171,25,0.43848217773437503
04.10.2018,05.10.2018,CALL,276.0,SPY181005C00276000,13.03,13.58,13.74,-3.000001,-18.714914,97,16,0.4096738720703125
04.10.2018,05.10.2018,CALL,277.5,SPY181005C00277500,15.57,14.87,15.13,0.0,0.0,2,0,0.8959971337890623
04.10.2018,05.10.2018,CALL,278.0,SPY181005C00278000,12.41,11.6,11.76,-1.3800001,-10.007253,69,68,0.3676821044921875
04.10.2018,05.10.2018,CALL,279.0,SPY181005C00279000,10.48,10.6,10.77,-2.0700006,-16.494028,7,1,0.34570966796874997
04.10.2018,05.10.2018,CALL,280.0,SPY181005C00280000,9.5,9.61,9.77,-3.0600004,-24.36306,236,355,0.3198310205078124
04.10.2018,05.10.2018,CALL,281.0,SPY181005C00281000,8.7,8.61,8.77,-3.12,-26.395937,711,147,0.29395237304687494
04.10.2018,05.10.2018,CALL,282.0,SPY181005C00282000,7.08,7.62,7.79,-3.6499996,-34.016773,201,53,0.27295648925781246
