Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
22.11.2018,23.11.2018,CALL,105.0,V181123C00105000,28.85,29.25,29.8,0.0,0.0,2,0,1.625001875
22.11.2018,23.11.2018,CALL,115.0,V181123C00115000,18.1,19.15,19.8,0.0,0.0,1,1,0.992187578125
22.11.2018,23.11.2018,CALL,117.0,V181123C00117000,16.1,17.15,17.8,0.0,0.0,2,2,0.8984385156249999
22.11.2018,23.11.2018,CALL,118.0,V181123C00118000,15.15,16.25,16.75,0.0,0.0,10,10,0.8984385156249999
22.11.2018,23.11.2018,CALL,122.0,V181123C00122000,10.85,12.25,12.75,0.0,0.0,9,9,0.70117486328125
22.11.2018,23.11.2018,CALL,123.0,V181123C00123000,11.63,10.0,13.9,0.0,0.0,10,10,0.99804689453125
22.11.2018,23.11.2018,CALL,124.0,V181123C00124000,9.05,10.35,10.55,0.0,0.0,233,203,0.51562984375
22.11.2018,23.11.2018,CALL,126.0,V181123C00126000,7.1,8.15,8.75,0.0,0.0,62,32,0.69336244140625
22.11.2018,23.11.2018,CALL,127.0,V181123C00127000,16.6,6.0,9.95,0.0,0.0,1,0,0.7392604199218749
22.11.2018,23.11.2018,CALL,128.0,V181123C00128000,4.75,6.3,6.75,0.0,0.0,51,28,0.5664105859375
22.11.2018,23.11.2018,CALL,131.0,V181123C00131000,3.75,3.35,3.65,1.22,48.221348,22,42,0.3242255078124999
22.11.2018,23.11.2018,CALL,132.0,V181123C00132000,3.44,2.42,2.64,1.26,57.798164,243,194,0.252937158203125
22.11.2018,23.11.2018,PUT,105.0,V181123P00105000,0.01,0.0,0.13,0.0,0.0,1,51,1.5156274218749999
22.11.2018,23.11.2018,PUT,111.0,V181123P00111000,0.04,0.0,0.13,0.0,0.0,5,5,1.2109414453124998
22.11.2018,23.11.2018,PUT,112.0,V181123P00112000,0.04,0.0,0.13,0.0,0.0,3,3,1.1640666796875
22.11.2018,23.11.2018,PUT,113.0,V181123P00113000,0.04,0.0,0.02,0.0,0.0,1,1,0.87500125
22.11.2018,23.11.2018,PUT,114.0,V181123P00114000,0.04,0.0,0.13,0.0,0.0,2,2,1.0664109179687502
22.11.2018,23.11.2018,PUT,122.0,V181123P00122000,0.09,0.0,0.02,0.0,0.0,1,22,0.523442265625
22.11.2018,23.11.2018,PUT,123.0,V181123P00123000,0.08,0.0,0.13,0.0,0.0,65,75,0.6289099609375001
22.11.2018,23.11.2018,PUT,152.5,V181123P00152500,11.95,16.0,20.45,0.0,0.0,4,0,0.9492192578124999
