Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
25.10.2018,26.10.2018,PUT,85.0,WMT181026P00085000,0.01,0.0,0.03,0.0,0.0,3,678,0.85937640625
25.10.2018,26.10.2018,PUT,87.0,WMT181026P00087000,0.02,0.0,0.08,0.0,0.0,1,8,0.851563984375
25.10.2018,26.10.2018,PUT,87.5,WMT181026P00087500,0.04,0.02,0.12,-0.050000004,-55.555557,5,160,0.8945323046874999
25.10.2018,26.10.2018,PUT,88.5,WMT181026P00088500,0.01,0.0,0.11,0.0,0.0,15,281,0.7929708203125
25.10.2018,26.10.2018,PUT,89.5,WMT181026P00089500,0.03,0.0,0.69,0.0,0.0,43,583,1.0722702636718753
25.10.2018,26.10.2018,PUT,90.0,WMT181026P00090000,0.02,0.02,0.64,0.0,0.0,78,394,1.0166064794921876
25.10.2018,26.10.2018,PUT,90.5,WMT181026P00090500,0.03,0.0,0.11,0.0,0.0,6,303,0.6601596484375001
25.10.2018,26.10.2018,PUT,91.0,WMT181026P00091000,0.03,0.0,0.12,0.0,0.0,36,197,0.6367223828125
25.10.2018,26.10.2018,PUT,91.5,WMT181026P00091500,0.03,0.0,0.05,-0.01,-25.0,3,94,0.523442265625
25.10.2018,26.10.2018,PUT,92.0,WMT181026P00092000,0.04,0.02,0.03,0.0,0.0,15,93,0.507817421875
25.10.2018,26.10.2018,PUT,92.5,WMT181026P00092500,0.03,0.0,0.03,0.0,0.0,10,374,0.476567734375
25.10.2018,26.10.2018,PUT,93.0,WMT181026P00093000,0.02,0.0,0.03,-0.06,-75.0,22,330,0.445318046875
25.10.2018,26.10.2018,PUT,93.5,WMT181026P00093500,0.09,0.01,0.03,0.0,0.0,79,161,0.414068359375
25.10.2018,26.10.2018,PUT,94.0,WMT181026P00094000,0.03,0.02,0.04,-0.16,-84.210526,46,1197,0.4023497265625
25.10.2018,26.10.2018,PUT,94.5,WMT181026P00094500,0.08,0.02,0.04,0.02,33.333336,2,1210,0.367193828125
25.10.2018,26.10.2018,PUT,95.0,WMT181026P00095000,0.02,0.02,0.04,-0.24,-92.30769,152,1226,0.335944140625
25.10.2018,26.10.2018,PUT,95.5,WMT181026P00095500,0.03,0.03,0.05,-0.32,-91.42857,34,805,0.31445998046874996
25.10.2018,26.10.2018,PUT,96.0,WMT181026P00096000,0.04,0.04,0.06,-0.39000002,-90.69768,104,692,0.2910227148437499
25.10.2018,26.10.2018,PUT,96.5,WMT181026P00096500,0.06,0.05,0.08,-0.41,-87.23405,464,690,0.273444765625
25.10.2018,26.10.2018,PUT,97.0,WMT181026P00097000,0.08,0.08,0.1,-0.58000004,-87.87879,71,797,0.249030947265625
25.10.2018,26.10.2018,PUT,97.5,WMT181026P00097500,0.18,0.12,0.14,-0.65999997,-78.57143,307,546,0.2304764453125
25.10.2018,26.10.2018,PUT,98.0,WMT181026P00098000,0.2,0.17,0.21,-1.03,-83.73984,144,186,0.21680470703125
25.10.2018,26.10.2018,PUT,98.5,WMT181026P00098500,0.34,0.28,0.34,-0.86,-71.666664,344,162,0.21289849609375
25.10.2018,26.10.2018,PUT,99.0,WMT181026P00099000,0.5,0.45,0.5,-0.75,-60.000004,292,77,0.20020331054687499
25.10.2018,26.10.2018,PUT,99.5,WMT181026P00099500,0.73,0.68,0.76,-1.52,-67.55555,17,181,0.1997150341796875
25.10.2018,26.10.2018,PUT,100.0,WMT181026P00100000,0.96,0.99,1.13,-0.39000005,-28.888893,42,54,0.21680470703125
25.10.2018,26.10.2018,PUT,101.0,WMT181026P00101000,1.79,1.8,2.01,-0.61000013,-25.416672,10,2,0.266608896484375
25.10.2018,26.10.2018,PUT,102.0,WMT181026P00102000,5.85,5.55,9.55,0.0,5.9829044,6,6,2.0341846020507814
25.10.2018,26.10.2018,PUT,103.0,WMT181026P00103000,6.3,7.35,10.3,0.0,0.0,7,11,2.2617230957031245
25.10.2018,26.10.2018,PUT,105.0,WMT181026P00105000,7.68,5.7,6.2,0.0,0.0,10,1,0.5293015820312501
